"Resp_id1","strata","bra10grp","aldergrp","udgrp","loengrp","int_resultat","metode","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","ISCO_NU","ISCO_DA"
"LS335308",8,"5 Information og kommunikation",2,2,2,1,2,1300.712265,1,NA,48,NA,1,1,1,1,1,2,2,1,2,3,2,3,4,4,4,2,1,3,3,3,3,3,3,3,3,2,4,4,4,3,NA,NA,3,3,2,2,5,3,NA,NA,4,3,NA,NA,4,1,NA,NA,3,1,3,3,4,3,NA,NA,5,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,17,3,4229,4229
"LS335741",10,"8 Erhvervsservice",2,2,4,1,2,838.4654818,1,NA,70,NA,1,1,2,1,2,2,2,3,2,2,3,4,3,5,1,1,1,5,1,1,1,2,1,2,1,3,2,2,1,3,2,2,4,3,NA,NA,2,3,2,2,1,3,2,2,3,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,1,3,NA,NA,NA,NA,36,3,1323,9999
"LS335858",10,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,900.4901431,1,NA,69,NA,1,2,2,2,3,2,3,2,3,4,2,3,4,4,1,2,5,5,4,2,2,1,2,3,2,4,3,5,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,2,2,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,69,3,5321,5321
"LS336823",8,"4 Handel og transport mv.",1,3,2,1,2,1873.896811,1,NA,48,NA,2,NA,NA,NA,1,1,3,2,3,2,2,3,4,2,2,2,2,5,3,NA,NA,NA,NA,NA,2,1,3,2,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,71,3,2512,9999
"LS336989",8,"4 Handel og transport mv.",3,2,4,1,2,817.443146,1,NA,1,NA,1,1,1,1,1,2,1,4,2,2,3,4,1,1,2,3,5,5,5,3,3,3,3,3,1,5,1,1,1,1,3,1,5,3,NA,NA,3,3,3,2,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,1,1,1,3,1,1,5,3,NA,NA,NA,NA,NA,NA,80,2,2521,2521
"LS337094",4,"8 Erhvervsservice",2,3,4,1,2,798.9269593,1,NA,98,NA,1,1,1,1,1,2,2,3,2,2,3,2,3,2,3,2,4,5,4,1,3,3,3,3,2,5,1,1,1,1,3,2,2,3,3,2,3,1,3,2,1,1,3,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,2611,2611
"LS337230",10,"2 Industri, råstofindvinding og forsyningsvirksomhed",3,3,4,1,2,917.7308971,1,NA,27,NA,1,1,1,1,2,1,1,4,2,2,3,2,2,2,1,2,3,5,4,3,3,3,3,3,2,4,2,2,1,3,3,2,4,3,NA,NA,4,3,NA,NA,3,3,3,2,2,3,2,1,5,3,NA,NA,5,3,NA,NA,3,3,1,2,5,3,NA,NA,NA,NA,NA,NA,70,3,2149,2149
"LS338217",10,"10 Kultur, fritid og anden service",2,3,3,1,2,604.8789207,1,NA,14,NA,2,NA,NA,NA,1,3,2,3,4,3,2,2,3,3,2,3,4,2,4,NA,NA,NA,NA,NA,2,2,2,4,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,2,NA,3,2,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,80,1,8322,9999
"LS338452",8,"6 Finansiering og forsikring",2,3,4,1,1,1104.904573,1,NA,48,NA,1,1,1,1,5,1,2,4,2,3,3,2,9,5,5,5,5,5,5,3,3,3,3,3,1,4,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,3,9,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,9999,2120
"LS338652",1,"8 Erhvervsservice",2,3,4,1,2,1961.75052,1,NA,92,NA,1,1,1,1,1,2,2,4,3,2,3,1,1,1,2,3,4,5,4,3,3,3,3,3,1,5,2,2,2,3,2,2,3,1,3,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,92,3,2411,2411
