"Resp_id1","strata","bra10grp","aldergrp","udgrp","loengrp","int_resultat","metode","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","ISCO_NU","ISCO_DA"
"LS102824",4,"8 Erhvervsservice",2,2,2,1,2,1354.692186,1,NA,38,NA,1,1,1,1,1,1,2,3,3,3,4,4,4,3,4,4,1,4,4,3,3,3,3,3,2,4,4,3,4,3,NA,NA,1,3,2,1,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,3,3313,3313
"LS103087",3,"2 Industri, råstofindvinding og forsyningsvirksomhed",1,2,2,1,2,3027.501438,1,NA,83,NA,1,1,1,2,1,2,2,4,2,3,3,2,2,2,3,4,2,1,3,1,3,2,3,3,1,4,4,2,1,3,2,2,1,1,2,2,3,3,2,2,3,3,2,2,4,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,4110,7127
"LS103468",7,"9 Offentlig administration, undervisning og sundhed",3,2,2,1,1,1870.088318,1,NA,19,NA,1,1,1,1,1,1,1,5,2,2,3,2,2,2,2,1,4,4,3,3,3,3,3,3,1,5,4,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,19,2,5329,9999
"LS104992",1,"5 Information og kommunikation",1,3,2,1,2,3143.121863,1,NA,85,NA,1,1,1,1,3,2,2,3,2,2,3,3,4,2,2,2,4,4,3,2,3,1,3,3,2,4,3,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,85,3,2512,2512
"LS105742",6,"3 Bygge og anlæg",2,1,4,1,2,1535.607818,1,NA,91,NA,1,1,1,1,1,1,1,4,2,2,3,1,1,1,1,2,1,4,4,3,3,3,3,3,2,5,3,2,2,3,3,1,2,3,3,1,2,3,2,1,2,3,2,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,91,2,3322,3322
"LS105747",5,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,4,1,2,2051.189057,1,NA,38,NA,1,1,1,1,2,2,2,4,2,2,5,2,3,2,3,3,4,4,3,1,1,3,2,2,3,5,4,2,3,2,3,1,2,3,3,2,4,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,2,3,2,2,1,3,3,2,NA,NA,NA,NA,38,2,9705,9705
"LS105824",3,"1 Landbrug, skovbrug og fiskeri",3,2,2,1,1,1449.339812,1,NA,38,NA,1,1,1,1,3,1,1,4,1,3,1,4,1,1,4,4,4,5,4,3,3,3,1,1,1,5,1,5,4,3,NA,NA,3,3,3,1,5,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,38,3,6210,6210
"LS105863",6,"9 Offentlig administration, undervisning og sundhed",2,2,4,1,2,1068.544258,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,11,3,9999,9999
"LS106166",4,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,2,1053.322518,1,NA,98,NA,1,1,1,1,3,1,1,3,1,2,4,2,2,2,1,2,5,5,4,3,1,3,2,2,2,5,2,3,1,3,3,1,5,3,NA,NA,3,3,1,1,3,1,3,2,5,3,NA,NA,5,3,NA,NA,3,1,2,2,4,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,2340,2340
"LS106822",10,"8 Erhvervsservice",2,2,2,1,1,900.4901431,1,NA,36,NA,1,2,2,1,1,1,1,5,1,1,1,1,1,2,1,2,2,5,4,1,3,2,1,1,1,5,5,2,3,1,3,1,2,2,3,1,1,1,3,1,1,1,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,2,2423,2423
"LS107239",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",3,2,3,1,2,700.7192209,1,NA,93,NA,1,1,1,1,2,2,4,4,2,2,3,3,2,2,2,4,3,3,4,1,1,2,1,1,1,3,3,3,3,3,1,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,2,2,NA,NA,NA,NA,93,3,3114,9999
"LS107916",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,4,1,1,1256.808363,1,NA,33,NA,1,1,1,1,2,2,3,2,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,1,5,2,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,33,3,4322,4322
"LS108141",1,"8 Erhvervsservice",3,2,2,1,2,2294.215676,1,NA,44,NA,1,1,2,2,1,2,2,4,3,1,3,3,1,1,3,3,2,1,1,2,2,1,1,1,1,5,2,2,4,2,NA,NA,1,1,2,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,44,3,4110,4110
"LS108587",8,"6 Finansiering og forsikring",2,2,4,1,2,1142.690268,1,NA,24,NA,1,1,1,1,1,1,1,4,2,1,2,1,1,3,1,4,2,5,4,3,3,3,3,3,2,4,2,2,1,3,1,1,3,3,3,2,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,24,2,3313,3313
"LS109172",6,"9 Offentlig administration, undervisning og sundhed",2,3,3,1,2,1326.059778,1,NA,82,NA,1,1,1,1,5,1,1,3,2,2,5,3,2,2,3,1,3,5,4,3,3,3,3,3,2,3,4,4,1,3,1,1,3,2,2,3,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,2,2340,2340
"LS109546",4,"8 Erhvervsservice",1,3,4,1,2,1415.127949,1,NA,98,NA,1,1,1,2,1,1,1,2,1,1,3,1,2,2,1,2,3,2,2,1,1,2,1,2,2,5,2,1,1,2,3,2,1,3,2,2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,2,NA,NA,NA,NA,98,3,1120,1211
"LS109937",9,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,1,2,2604.309041,1,NA,36,NA,1,2,2,2,1,1,2,3,2,2,4,2,2,1,4,3,2,5,3,3,1,3,3,3,2,4,3,3,4,2,NA,NA,5,2,NA,NA,5,2,NA,NA,5,2,NA,NA,1,1,2,2,1,1,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,3,7221,7234
"LS110457",1,"9 Offentlig administration, undervisning og sundhed",3,2,2,1,2,2294.215676,1,NA,18,NA,1,1,1,1,1,2,1,4,3,2,3,3,1,1,5,4,1,5,5,1,2,1,1,1,1,5,2,1,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,18,3,9412,9412
"LS110551",8,"6 Finansiering og forsikring",2,3,4,1,2,1104.904573,1,NA,4,NA,1,2,2,2,3,2,1,4,1,2,4,1,1,2,1,2,2,4,5,1,3,3,3,3,1,5,2,2,2,1,2,2,5,3,NA,NA,3,1,3,2,2,3,3,1,5,3,NA,NA,5,3,NA,NA,3,2,3,2,3,3,3,2,4,2,NA,NA,NA,NA,NA,NA,54,3,2413,2413
"LS110617",7,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,2,1548.967473,1,NA,48,NA,1,1,1,1,4,4,1,3,2,2,2,3,2,3,4,3,4,3,5,3,3,9,3,3,2,5,4,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,2642,2642
"LS110751",8,"4 Handel og transport mv.",2,3,1,1,1,1050.181386,1,NA,39,NA,2,NA,NA,NA,5,5,5,1,3,2,5,1,3,2,2,4,2,1,1,NA,NA,NA,NA,NA,2,3,2,2,1,NA,2,2,5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,39,3,3313,9999
"LS110773",9,"2 Industri, råstofindvinding og forsyningsvirksomhed",3,1,4,1,2,2521.725734,1,NA,79,NA,1,1,1,1,2,3,2,2,2,2,2,3,3,2,3,3,2,5,3,1,1,2,2,2,1,5,2,2,1,3,3,2,1,3,3,1,3,3,3,2,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,69,1,1221,1221
"LS112074",7,"4 Handel og transport mv.",2,2,4,1,1,2647.662206,1,NA,48,NA,1,1,1,1,1,1,1,3,4,1,3,1,1,1,1,1,3,5,5,3,3,3,3,3,1,5,2,2,1,3,3,1,1,3,3,1,3,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,1,9705,9999
"LS112107",8,"8 Erhvervsservice",2,3,4,1,2,1104.904573,1,NA,34,NA,1,1,1,2,1,2,2,3,2,2,3,2,3,3,2,2,1,4,3,1,3,3,3,3,1,4,2,2,1,3,2,1,5,3,NA,NA,3,1,3,2,3,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,2,1,5,3,NA,NA,NA,NA,NA,NA,71,3,3341,3341
"LS112931",6,"9 Offentlig administration, undervisning og sundhed",2,2,1,1,2,1253.004105,1,NA,84,NA,1,1,1,1,1,3,2,4,4,2,5,2,2,3,1,3,4,5,5,3,3,3,3,3,2,9,5,3,2,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,84,3,2343,2343
"LS113274",8,"2 Industri, råstofindvinding og forsyningsvirksomhed",3,2,3,1,1,817.443146,1,NA,23,NA,1,1,1,1,2,3,2,4,3,3,4,3,4,4,3,4,4,1,4,3,3,3,3,3,2,5,2,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,3118,3118
"LS113277",6,"9 Offentlig administration, undervisning og sundhed",3,2,2,1,1,575.8883656,1,NA,11,NA,1,1,1,1,1,1,1,4,5,2,1,1,5,2,2,2,5,4,5,3,3,3,3,3,2,5,5,4,2,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,12,3,5321,9999
"LS115143",8,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,2,1104.904573,1,NA,2,NA,1,1,1,1,3,1,2,4,2,2,5,2,2,2,2,3,2,5,4,3,3,3,3,3,1,5,2,3,1,3,2,1,5,3,NA,NA,2,3,1,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,3,2,NA,NA,NA,NA,2,3,3341,3341
"LS115974",3,"9 Offentlig administration, undervisning og sundhed",2,3,2,1,1,2008.945734,1,NA,83,NA,1,2,2,1,1,1,2,2,3,3,2,1,2,2,1,3,3,5,3,3,3,3,3,3,2,5,4,2,3,3,1,1,5,3,NA,NA,5,3,NA,NA,3,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,83,1,2343,9999
"LS116157",4,"9 Offentlig administration, undervisning og sundhed",3,2,3,1,2,700.7192209,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,4,66,3,9999,9999
"LS116339",8,"2 Industri, råstofindvinding og forsyningsvirksomhed",1,2,4,1,2,2072.778285,1,NA,39,NA,1,1,1,1,2,2,1,3,2,3,3,3,3,4,4,3,1,1,4,1,1,3,3,3,2,5,3,3,3,3,3,2,1,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,1,1,2,2,1,1,1,1,1,1,1,3,2,3,3,3,NA,NA,NA,NA,40,3,3119,3119
"LS118300",8,"9 Offentlig administration, undervisning og sundhed",1,3,3,1,1,1928.619998,1,NA,34,NA,1,1,1,1,3,2,1,1,2,4,2,2,3,2,2,5,5,5,5,3,3,3,3,3,2,5,2,5,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,34,3,2357,2357
"LS118396",4,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,2,798.9269593,1,NA,74,NA,1,1,1,1,1,1,2,5,3,2,4,2,1,2,3,5,4,5,4,3,3,3,3,3,1,5,2,4,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,1,1,2,NA,NA,NA,NA,74,3,2340,2340
"LS119405",8,"9 Offentlig administration, undervisning og sundhed",3,3,2,1,2,618.5616718,1,NA,7,NA,1,1,1,1,1,1,1,5,1,1,5,3,1,3,1,1,1,4,3,3,3,3,3,3,1,4,4,2,1,3,1,1,1,3,1,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,7,3,2357,2357
"LS119442",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,4,1,2,1256.808363,1,NA,42,NA,1,1,1,1,4,2,1,5,1,2,4,3,1,3,3,5,3,5,5,3,3,3,1,3,2,4,2,4,3,1,1,1,1,3,1,2,5,3,NA,NA,2,1,1,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,2,2265,2265
"LS119512",4,"9 Offentlig administration, undervisning og sundhed",1,2,2,1,1,1970.893176,1,NA,98,NA,1,1,1,1,1,3,3,3,3,3,1,3,1,3,1,3,3,5,3,3,1,1,2,3,3,5,5,3,2,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,2,1,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,38,3,5321,5321
"LS119833",9,"9 Offentlig administration, undervisning og sundhed",1,3,3,1,2,2111.432464,1,NA,78,NA,1,2,2,1,2,2,1,4,1,2,4,2,2,3,1,4,2,4,4,3,3,3,3,3,1,5,2,2,2,3,1,1,5,3,NA,NA,5,3,NA,NA,2,3,1,1,1,3,1,1,5,3,NA,NA,1,3,3,1,1,3,3,1,5,3,NA,NA,NA,NA,NA,NA,78,3,2340,2340
"LS119911",8,"4 Handel og transport mv.",2,2,4,1,2,1249.06286,1,NA,48,NA,1,1,1,1,1,2,1,2,1,3,3,3,3,1,5,2,5,5,5,1,1,3,2,3,2,5,5,5,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,3,3,3,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,70,2,2511,2511
"LS120711",3,"4 Handel og transport mv.",2,2,2,1,1,1977.383485,1,NA,93,NA,1,1,1,1,1,1,1,3,1,4,4,1,2,1,5,4,3,5,5,3,3,3,3,3,2,5,2,5,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,3,8322,8322
"LS123311",7,"4 Handel og transport mv.",2,3,4,1,2,1548.967473,1,NA,48,NA,1,1,1,1,1,1,2,3,2,2,3,2,2,2,1,2,1,5,4,3,3,3,3,3,1,5,2,3,2,3,1,1,2,3,9,1,3,3,1,2,1,3,2,1,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,4,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,10,3,2149,1221
"LS123369",4,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,1354.692186,1,NA,66,NA,1,1,1,1,1,2,1,2,3,3,2,2,3,3,1,3,2,5,3,3,3,3,3,3,1,3,4,4,2,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,66,3,3344,3344
"LS123658",2,"11 Uoplyst",3,NA,2,1,2,951.0459942,1,NA,97,NA,1,2,2,1,1,2,2,2,2,2,2,3,3,4,4,3,3,5,4,3,3,3,3,3,1,5,2,3,3,3,3,2,5,3,NA,NA,5,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,4311,4311
"LS123765",1,"9 Offentlig administration, undervisning og sundhed",2,3,3,1,2,544.1447167,1,NA,92,NA,1,1,1,1,1,2,1,4,2,2,3,3,3,2,1,4,2,2,3,1,1,3,3,3,2,5,3,2,1,3,2,2,5,3,NA,NA,1,1,1,1,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,NA,NA,NA,NA,92,3,3412,3412
"LS124290",10,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,3,1,2,1328.178772,1,NA,45,NA,1,1,1,1,1,5,2,3,3,2,2,2,2,2,1,2,2,2,4,3,3,3,3,3,2,4,2,3,3,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,NA,NA,NA,NA,45,3,8183,8183
"LS124578",10,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,1,2,1,2,2105.10358,1,NA,53,NA,1,1,1,1,1,1,2,3,3,3,3,4,2,1,2,4,2,2,4,3,3,3,3,3,1,5,4,3,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,53,3,9705,9705
"LS126483",9,"3 Bygge og anlæg",1,1,3,1,1,3928.50256,1,NA,45,NA,1,2,2,1,2,1,1,3,3,3,3,2,1,2,3,2,4,5,3,3,3,3,3,3,2,5,2,2,3,3,3,1,2,3,3,1,4,3,NA,NA,3,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,77,3,7411,9999
"LS126989",7,"4 Handel og transport mv.",2,2,2,1,1,2514.385306,1,NA,48,NA,1,1,1,1,1,1,3,5,3,5,3,1,5,1,5,5,3,5,5,3,3,3,3,3,1,5,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,54,3,8332,9999
"LS127471",2,"9 Offentlig administration, undervisning og sundhed",1,3,3,1,1,1152.404081,1,NA,97,NA,1,1,1,2,1,1,1,4,2,2,3,3,3,3,4,4,2,5,4,3,3,1,1,1,1,5,2,2,3,1,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,2221,2221
"LS127946",2,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,1,1308.556814,1,NA,56,NA,1,1,1,1,1,2,2,4,2,2,4,4,4,4,2,2,1,5,5,1,1,2,2,2,2,5,4,3,1,1,1,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,1,9,2,NA,NA,NA,NA,67,3,5322,5322
"LS129794",9,"8 Erhvervsservice",2,2,3,1,1,1214.357762,1,NA,98,NA,1,1,1,1,1,2,1,2,2,4,4,4,3,3,3,4,4,5,5,1,3,3,3,3,2,4,2,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,3,9705,9705
"LS131121",4,"5 Information og kommunikation",1,3,2,1,2,1513.011772,1,NA,98,NA,1,1,1,2,4,3,2,5,1,2,3,3,2,2,2,3,4,5,4,1,1,3,3,3,1,5,2,2,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,3,3,2,1,5,3,NA,NA,5,3,NA,NA,2,1,2,2,1,3,2,1,2,1,2,2,NA,NA,NA,NA,98,3,9705,9705
"LS131187",10,"4 Handel og transport mv.",3,2,3,1,2,1151.317458,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,27,3,9999,9999
"LS131289",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,3,4,1,2,1053.322518,1,NA,75,NA,1,2,2,2,1,1,1,5,1,1,2,5,1,1,5,5,1,5,5,3,3,3,3,3,1,5,4,3,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,1,3,3,1,1,3,3,1,NA,NA,NA,NA,98,3,2310,2310
"LS131448",6,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,1,1253.004105,1,NA,91,NA,1,1,1,1,1,1,2,2,2,3,3,2,2,2,3,3,2,5,3,1,3,3,3,3,3,4,5,4,1,3,3,1,5,3,NA,NA,2,3,2,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,2,5322,5322
"LS131472",1,"9 Offentlig administration, undervisning og sundhed",2,3,1,1,1,1969.372655,1,NA,92,NA,1,2,2,2,5,5,1,5,1,2,5,1,1,3,3,5,5,5,5,3,3,3,3,3,1,3,2,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,2343,2352
"LS131701",8,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,3,4,1,2,998.5319806,1,NA,48,NA,1,1,1,1,2,2,2,4,2,2,5,4,2,2,2,3,2,5,3,1,1,3,2,1,2,5,2,1,2,1,3,2,5,3,NA,NA,4,3,NA,NA,1,1,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,3257,9999
"LS131756",3,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,1977.383485,1,NA,68,NA,1,1,1,1,3,2,2,3,2,2,3,3,2,2,2,3,4,5,5,1,1,3,3,3,2,4,3,3,4,9,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,9,9,NA,NA,NA,NA,68,1,5153,5153
"LS133996",4,"9 Offentlig administration, undervisning og sundhed",1,3,2,1,1,1513.011772,1,NA,93,NA,1,2,2,2,2,2,4,3,2,3,2,2,3,4,1,2,2,4,4,3,3,3,3,3,1,2,2,2,1,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,3,2357,2352
"LS134194",8,"9 Offentlig administration, undervisning og sundhed",1,3,4,1,2,1928.619998,1,NA,22,NA,1,2,2,2,1,2,3,2,2,2,2,2,4,3,3,3,2,5,4,2,3,1,3,1,2,5,2,1,1,1,2,2,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,2212,2211
"LS134748",4,"9 Offentlig administration, undervisning og sundhed",2,2,1,1,1,1609.087745,1,NA,66,NA,1,1,1,1,2,1,2,4,3,4,3,2,2,1,1,2,5,5,4,1,3,3,3,3,2,5,5,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,66,3,5153,5153
"LS135075",2,"3 Bygge og anlæg",1,2,3,1,1,1404.769578,1,NA,44,NA,1,1,1,1,1,1,1,2,3,1,3,1,1,1,2,4,1,5,4,3,3,3,3,3,2,4,2,2,1,3,3,2,1,3,3,1,1,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,3112,3112
"LS135673",5,"2 Industri, råstofindvinding og forsyningsvirksomhed",1,2,2,1,1,3333.323651,1,NA,66,NA,1,2,2,2,2,2,2,2,3,3,2,3,3,3,4,5,3,2,3,1,1,1,1,1,2,3,3,4,5,2,NA,NA,5,2,NA,NA,2,1,2,1,2,1,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,66,2,4110,2412
